,Date,Number of Crimes,Number of SNS
0,1/1/2011,257,9772
1,2/1/2011,204,7445
2,3/1/2011,312,5406
3,4/1/2011,304,7089
4,5/1/2011,370,7255
5,6/1/2011,313,7357
6,7/1/2011,345,6893
7,8/1/2011,303,8598
8,9/1/2011,291,6929
9,10/1/2011,335,6854
10,11/1/2011,333,6376
11,12/1/2011,354,6603
12,1/1/2012,379,6404
13,2/1/2012,244,6504
14,3/1/2012,317,9388
15,4/1/2012,335,6835
16,5/1/2012,338,6711
17,6/1/2012,309,6700
18,7/1/2012,339,5332
19,8/1/2012,303,4218
20,9/1/2012,327,3077
21,10/1/2012,309,3449
22,11/1/2012,278,3132
23,12/1/2012,263,3548
24,1/1/2013,263,3025
25,2/1/2013,273,1948
26,3/1/2013,304,3133
27,4/1/2013,331,2812
28,5/1/2013,316,2926
29,6/1/2013,324,3237
30,7/1/2013,287,3876
31,8/1/2013,291,3692
32,9/1/2013,318,3344
33,10/1/2013,331,3560
34,11/1/2013,299,4195
35,12/1/2013,291,3643
36,1/1/2014,339,3202
37,2/1/2014,326,2730
38,3/1/2014,378,2652
39,4/1/2014,373,3277
40,5/1/2014,369,3592
41,6/1/2014,408,4565
42,7/1/2014,370,4806
43,8/1/2014,371,6496
44,9/1/2014,339,6350
45,10/1/2014,368,6182
46,11/1/2014,360,5201
47,12/1/2014,397,5594
48,1/1/2015,359,6634
49,2/1/2015,270,4612
50,3/1/2015,344,5764
51,4/1/2015,343,5977
52,5/1/2015,456,5344
53,6/1/2015,350,5714
54,7/1/2015,428,6366
55,8/1/2015,416,6854
56,9/1/2015,414,6718
57,10/1/2015,406,6081
58,11/1/2015,396,4716
59,12/1/2015,381,3998
60,1/1/2016,358,4895
61,2/1/2016,323,4108
62,3/1/2016,344,4858
63,4/1/2016,390,4217
64,5/1/2016,442,4390
65,6/1/2016,404,3850
66,7/1/2016,450,3218
67,8/1/2016,444,3896
68,9/1/2016,371,4061
69,10/1/2016,393,3500
70,11/1/2016,457,3202
71,12/1/2016,423,3618
