NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,CrimeType,Description,Date,latitude,longitude,Beat_New
A0514814,65,SIMPLE ROBBERY,1B,35,SIMPLE BATTERY,2A,3683377,531825,01/04/2014 11:42:30 PM,01/04/2014 11:43:26 PM,01/04/2014 11:47:05 PM,01/05/2014 01:29:33 AM,RTF,REPORT TO FOLLOW,N,8B02,St Peter & River,70130,8,"(29.95627848, -90.06213187)",VIOLENT CRIME,SIMPLE ROBBERY,2014-01-04,29.95627848,-90.06213187,8B02
A1137614,65,SIMPLE ROBBERY,2A,65,SIMPLE ROBBERY,2A,3679066,525743,01/09/2014 08:20:55 PM,01/09/2014 08:22:36 PM,01/09/2014 08:24:22 PM,01/09/2014 10:07:03 PM,RTF,REPORT TO FOLLOW,N,6G02,014XX Saint Charles Ave,70130,6,"(29.93968461, -90.07595579)",VIOLENT CRIME,SIMPLE ROBBERY,2014-01-09,29.93968461,-90.07595579,6G02
A1371814,65,SIMPLE ROBBERY,1B,35,SIMPLE BATTERY,1D,3682713,531408,01/11/2014 02:19:56 PM,01/11/2014 03:19:17 PM,01/11/2014 03:25:05 PM,01/11/2014 04:31:19 PM,RTF,REPORT TO FOLLOW,N,8B02,Decatur St & St Louis St,70130,8,"(29.95515119, -90.06424170)",VIOLENT CRIME,SIMPLE ROBBERY,2014-01-11,29.95515119,-90.0642417,8B02
A2136614,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3668999,535899,01/17/2014 12:10:08 PM,01/17/2014 03:14:25 PM,01/17/2014 03:37:31 PM,01/17/2014 05:44:40 PM,RTF,REPORT TO FOLLOW,N,1K02,040XX S Carrollton Ave,70119,1,"(29.96791191, -90.10739402)",VIOLENT CRIME,SIMPLE ROBBERY,2014-01-17,29.96791191,-90.10739402,1K02
A2697014,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3674619,534666,01/21/2014 08:43:35 PM,01/21/2014 10:06:14 PM,01/21/2014 10:06:20 PM,01/21/2014 11:18:33 PM,RTF,REPORT TO FOLLOW,N,1L01,Jane Pl & Palmyra St,70119,1,"(29.96435362, -90.08968824)",VIOLENT CRIME,SIMPLE ROBBERY,2014-01-21,29.96435362,-90.08968824,1L01
A3334414,65,SIMPLE ROBBERY,1B,35,SIMPLE BATTERY,2A,3689599,535793,01/27/2014 03:11:56 AM,01/27/2014 03:13:53 AM,01/27/2014 03:42:30 AM,01/27/2014 06:00:59 AM,RTF,REPORT TO FOLLOW,N,5C02,032XX Saint Claude Ave,70117,5,"(29.96699862, -90.04234296)",VIOLENT CRIME,SIMPLE ROBBERY,2014-01-27,29.96699862,-90.04234296,5C02
A3455214,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3687654,540555,01/28/2014 01:19:56 AM,01/28/2014 01:34:33 AM,01/28/2014 01:37:59 AM,01/28/2014 03:43:48 AM,RTF,REPORT TO FOLLOW,N,5M01,026XX N Miro St,70117,5,"(29.98015317, -90.04831647)",VIOLENT CRIME,SIMPLE ROBBERY,2014-01-28,29.98015317,-90.04831647,5M01
B0204814,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3690355,538092,02/02/2014 08:15:50 PM,02/02/2014 08:38:11 PM,02/02/2014 09:01:16 PM,02/02/2014 10:39:47 PM,RTF,REPORT TO FOLLOW,N,5G04,017XX Piety St,70117,5,"(29.97329654, -90.03987345)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-02,29.97329654,-90.03987345,5G04
B0239014,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3682013,530529,02/03/2014 05:10:52 AM,02/03/2014 05:11:33 AM,02/03/2014 05:15:36 AM,02/03/2014 06:06:14 AM,RTF,REPORT TO FOLLOW,N,8C01,005XX Iberville St,70130,8,"(29.95275611, -90.06648274)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-03,29.95275611,-90.06648274,8C01
B0764814,65,SIMPLE ROBBERY,1B,,AGGRAVATED BATTERY BY KNIFE,2B,3676890,533845,02/06/2014 11:16:44 PM,02/06/2014 11:17:21 PM,02/06/2014 11:18:43 PM,02/07/2014 12:22:56 AM,RTF,REPORT TO FOLLOW,N,1H02,022XX Canal St,70119,1,"(29.96203002, -90.08254490)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-06,29.96203002,-90.0825449,1H02
B0846414,65,SIMPLE ROBBERY,1B,35,SIMPLE BATTERY,2A,3679878,537684,02/07/2014 03:25:06 PM,02/07/2014 03:26:27 PM,02/07/2014 03:34:13 PM,02/07/2014 05:04:58 PM,RTF,REPORT TO FOLLOW,N,1C01,Esplanade Ave & N Galvez St,70119,1,"(29.97249635, -90.07297695)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-07,29.97249635,-90.07297695,1C01
B0981014,65,SIMPLE ROBBERY,1B,21,COMPLAINT OTHER,1H,3681383,530603,02/08/2014 02:25:41 PM,02/08/2014 02:25:41 PM,02/08/2014 02:45:46 PM,02/08/2014 03:51:11 PM,RTF,REPORT TO FOLLOW,N,8C01,001XX Exchange Pl,70130,8,"(29.95297934, -90.06846939)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-08,29.95297934,-90.06846939,8C01
B1115914,65,SIMPLE ROBBERY,1B,,ARMED ROBBERY WITH KNIFE,1A,3682480,539810,02/09/2014 04:20:39 PM,02/09/2014 04:24:41 PM,02/09/2014 04:43:25 PM,02/09/2014 05:24:04 PM,RTF,REPORT TO FOLLOW,N,5K02,N Galvez St & Allen St,70119,5,"(29.97826145, -90.06468399)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-09,29.97826145,-90.06468399,5K02
B1204314,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3680594,528681,02/10/2014 10:32:11 AM,02/10/2014 10:38:11 AM,02/10/2014 01:11:01 PM,02/10/2014 02:01:07 PM,RTF,REPORT TO FOLLOW,N,8G03,006XX Saint Charles Ave,70130,8,"(29.94771910, -90.07102787)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-10,29.9477191,-90.07102787,8G03
B1565314,65,SIMPLE ROBBERY,1B,35,SIMPLE BATTERY,1D,3683861,541329,02/13/2014 07:15:00 AM,02/13/2014 08:15:55 AM,02/13/2014 08:27:34 AM,02/13/2014 09:56:17 AM,RTF,REPORT TO FOLLOW,N,5K01,024XX Touro St,70119,5,"(29.98239717, -90.06027066)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-13,29.98239717,-90.06027066,5K01
B1990814,65,SIMPLE ROBBERY,1B,21,COMPLAINT OTHER,2A,3680001,527151,02/16/2014 06:49:20 AM,02/16/2014 07:12:43 AM,02/16/2014 07:18:59 AM,02/16/2014 08:03:49 AM,RTF,REPORT TO FOLLOW,N,6G04,St Charles Ave & Howard Ave,70130,6,"(29.94352983, -90.07295271)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-16,29.94352983,-90.07295271,6G04
B2359414,65,SIMPLE ROBBERY,1B,,ARMED ROBBERY WITH GUN,2A,3682032,531880,02/19/2014 04:08:27 AM,02/19/2014 04:09:38 AM,02/19/2014 04:14:01 AM,02/19/2014 05:40:13 AM,RTF,REPORT TO FOLLOW,N,8D05,007XX Saint Louis St,70130,8,"(29.95646996, -90.06637685)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-19,29.95646996,-90.06637685,8D05
B2375714,65,SIMPLE ROBBERY,1B,65,SIMPLE ROBBERY,1B,3678837,522065,02/19/2014 08:42:06 AM,02/19/2014 08:45:39 AM,02/19/2014 10:54:32 AM,02/19/2014 01:16:19 PM,RTF,REPORT TO FOLLOW,N,6D03,Jackson Ave & Magazine St,70130,6,"(29.92957935, -90.07680607)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-19,29.92957935,-90.07680607,6D03
B3275714,65,SIMPLE ROBBERY,1B,35,SIMPLE BATTERY,1D,3676138,534220,02/25/2014 08:46:00 PM,02/25/2014 08:46:52 PM,02/25/2014 08:47:26 PM,02/26/2014 04:40:44 AM,RTF,REPORT TO FOLLOW,N,1H02,024XX Canal St,70119,1,"(29.96308271, -90.08490758)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-25,29.96308271,-90.08490758,1H02
B3637514,65,SIMPLE ROBBERY,2A,,"SIMPLE ROBBERY, PROPERTY SNATCHING",2B,3669759,536878,02/28/2014 03:12:51 PM,02/28/2014 03:14:13 PM,02/28/2014 03:19:42 PM,02/28/2014 04:57:31 PM,RTF,REPORT TO FOLLOW,N,3D02,S Carrollton Ave & D'Hemecourt St,70119,3,"(29.97058085, -90.10496089)",VIOLENT CRIME,SIMPLE ROBBERY,2014-02-28,29.97058085,-90.10496089,3D02
