NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip_x,PoliceDistrict,Location,CrimeType,Description,FieldInterviewID,EventDate,District,Zone,OfficerAssignment,StopDescription,ActionsTaken,VehicleYear,VehicleMake,VehicleModel,VehicleStyle,VehicleColor,SubjectID,SubjectRace,SubjectGender,SubjectAge,SubjectHasPhotoID,SubjectHeight,SubjectWeight,SubjectEyeColor,SubjectHairColor,SubjectDriverLicState,CreatedDateTime,LastModifiedDateTime,Longitude,Latitude,Zip_y,BlockAddress
A0139412,65,SIMPLE ROBBERY,1B,,,,3682307,529905,2012-01-01 20:04:00,2012-01-01 20:08:00,2012-01-01 20:10:00,2012-01-01 22:35:00,RTF,REPORT TO FOLLOW,,,003XX Canal St,70130.0,8,"(29.951030452997887, -90.06557853022184)",VIOLENT CRIME,SIMPLE ROBBERY,145206,02/01/2012 09:42:00 PM,6,B,6th  District,CRIMINAL VIOLATION,Stop Results: Arrest made;Search Occurred: Yes;Search Types: Pat-down;Legal Basises: Warrant;Evidence Seized: No,,,,,,172390.0,BLACK,MALE,26.0,No,69.0,149.0,Brown,Black,LA,02/01/2012 09:46:15 PM,,-90.0655785302,29.951030453,70130.0,003XX Canal St
A0581612,65,SIMPLE ROBBERY,1A,,,,3681568,531810,2012-01-05 03:18:00,2012-01-05 03:18:00,2012-01-05 03:41:00,2012-01-05 03:44:00,RTF,REPORT TO FOLLOW,,,008XX Conti St,70112.0,8,"(29.95629101958663, -90.06784548885196)",VIOLENT CRIME,SIMPLE ROBBERY,140317,01/05/2012 03:25:00 AM,8,D,8th  District,CRIMINAL VIOLATION,Stop Results: Arrest made;Search Occurred: Yes;Search Types: Pat-down,,,,,,166666.0,WHITE,MALE,21.0,Yes,71.0,160.0,Brown,Brown,LA,01/05/2012 04:41:08 AM,,-90.06784548889999,29.956291019600002,70112.0,008XX Conti St
A0581612,65,SIMPLE ROBBERY,1A,,,,3681568,531810,2012-01-05 03:18:00,2012-01-05 03:18:00,2012-01-05 03:41:00,2012-01-05 03:44:00,RTF,REPORT TO FOLLOW,,,008XX Conti St,70112.0,8,"(29.95629101958663, -90.06784548885196)",VIOLENT CRIME,SIMPLE ROBBERY,140419,01/05/2012 04:15:00 AM,8,D,8th  District,CRIMINAL VIOLATION,Stop Results: Arrest made;Search Occurred: Yes;Legal Basises: Probable cause;Legal Basises: Incident to arrest;Evidence Seized: No,,,,,,166778.0,BLACK,MALE,28.0,Yes,72.0,150.0,Brown,Black,LA,01/06/2012 02:37:06 AM,,-90.06784548889999,29.956291019600002,70112.0,008XX Conti St
A3379812,65,SIMPLE ROBBERY,2B,,,,3684463,533710,2012-01-24 21:18:00,2012-01-24 21:22:00,2012-01-24 21:26:00,2012-01-24 22:50:00,RTF,REPORT TO FOLLOW,,,005XX Barracks St,70116.0,8,"(29.96142713591948, -90.05863732075841)",VIOLENT CRIME,SIMPLE ROBBERY,143473,01/24/2012 09:50:00 PM,8,D,8th  District,CALL FOR SERVICE,Stop Results: No action taken,,,,,,170435.0,BLACK,MALE,17.0,No,70.0,170.0,Brown,Black,,01/25/2012 04:11:40 AM,,-90.0586373208,29.961427135900003,70116.0,005XX Barracks St
B0379412,65,SIMPLE ROBBERY,2B,,,,3688721,537245,2012-02-03 10:16:00,2012-02-03 10:20:00,2012-02-03 10:24:00,2012-02-03 17:31:00,RTF,REPORT TO FOLLOW,,,Montegut St & N Villere St,70117.0,5,"(29.971016217392034, -90.04506582568925)",VIOLENT CRIME,SIMPLE ROBBERY,145603,02/03/2012 11:08:00 AM,5,B,5th  District,CALL FOR SERVICE,,,,,,,172824.0,BLACK,FEMALE,19.0,Yes,63.0,175.0,Brown,Black,LA,02/03/2012 11:12:38 AM,,-90.0450658257,29.9710162174,70117.0,Montegut St & N Villere St
B0379412,65,SIMPLE ROBBERY,2B,,,,3688721,537245,2012-02-03 10:16:00,2012-02-03 10:20:00,2012-02-03 10:24:00,2012-02-03 17:31:00,RTF,REPORT TO FOLLOW,,,Montegut St & N Villere St,70117.0,5,"(29.971016217392034, -90.04506582568925)",VIOLENT CRIME,SIMPLE ROBBERY,145628,02/03/2012 12:51:00 PM,1,C,5th  District,SUSPECT PERSON,Stop Results: Arrest made;Search Occurred: Yes;Search Types: Pat-down;Legal Basises: Probable cause;Legal Basises: Incident to arrest;Evidence Seized: No,,,,,,172851.0,BLACK,MALE,25.0,Yes,65.0,145.0,Brown,Black,LA,02/03/2012 12:57:56 PM,,-90.0450658257,29.9710162174,70117.0,Montegut St & N Villere St
B2387712,65,SIMPLE ROBBERY,1B,,,,3673154,521149,2012-02-16 23:05:00,2012-02-16 23:11:00,2012-02-16 23:14:00,2012-02-17 00:05:00,RTF,REPORT TO FOLLOW,,,Amelia St & Saint Charles Ave,70115.0,6,"(29.927229588833, -90.09477800992592)",VIOLENT CRIME,SIMPLE ROBBERY,148419,02/17/2012 06:25:00 AM,6,Q,6th  District,CALL FOR SERVICE,,,,,,,176095.0,WHITE,FEMALE,17.0,No,67.0,140.0,Brown,Brown,,02/17/2012 06:27:11 AM,,-90.0947780099,29.9272295888,70115.0,Amelia St & Saint Charles Ave
B3337212,65,SIMPLE ROBBERY,2D,,,,3688047,536314,2012-02-22 17:02:00,2012-02-22 17:06:00,2012-02-22 17:12:00,2012-02-22 20:38:00,RTF,REPORT TO FOLLOW,,,Press St & Saint Claude Ave,70117.0,5,"(29.968477112440244, -90.04722740164908)",VIOLENT CRIME,SIMPLE ROBBERY,150246,02/28/2012 10:35:00 PM,5,E,5th  District,CRIMINAL VIOLATION,,1900.0,,,,,178194.0,BLACK,FEMALE,17.0,No,65.0,120.0,Brown,Black,,02/29/2012 04:18:10 AM,,-90.0472274016,29.9684771124,70117.0,Press St & Saint Claude Ave
C2369012,65,SIMPLE ROBBERY,1B,,,,3681249,530721,2012-03-16 02:32:00,2012-03-16 02:32:00,2012-03-16 02:34:00,2012-03-16 03:42:00,RTF,REPORT TO FOLLOW,,,001XX Royal St,70130.0,8,"(29.953306321797264, -90.06889072963331)",VIOLENT CRIME,SIMPLE ROBBERY,154702,03/16/2012 02:30:00 AM,8,D,8th  District,CRIMINAL VIOLATION,Stop Results: Arrest made;Search Occurred: Yes;Legal Basises: Probable cause;Legal Basises: Incident to arrest;Evidence Seized: Yes,,,,,,183149.0,WHITE,MALE,23.0,No,66.0,130.0,Brown,Brown,LA,03/16/2012 09:38:49 PM,,-90.06889072959999,29.9533063218,70130.0,001XX Royal St
C3904112,65,SIMPLE ROBBERY,2B,,,,3681508,532290,2012-03-25 15:46:00,2012-03-25 15:49:00,2012-03-25 15:52:00,2012-03-25 16:53:00,RTF,REPORT TO FOLLOW,,,009XX Saint Louis St,70112.0,8,"(29.95761267848659, -90.06801821146433)",VIOLENT CRIME,SIMPLE ROBBERY,156956,03/25/2012 03:52:00 PM,8,D,8th  District,CALL FOR SERVICE,Stop Results: No action taken;Search Occurred: No;Legal Basises: Consent to search;Evidence Seized: No,,,,,,185701.0,WHITE,MALE,44.0,Yes,73.0,220.0,Green,Brown,,03/25/2012 04:58:58 PM,,-90.06801821149999,29.9576126785,70112.0,009XX Saint Louis St
