NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,CrimeType,Description
A0015113,34,AGGRAVATED BATTERY,2B,,,,3683068,531830,2013-01-01 00:56:00,2013-01-01 01:29:00,2013-01-01 01:56:00,2013-01-01 03:18:00,RTF,REPORT TO FOLLOW,,,006XX Decatur St,70130.0,8,"(29.956300375853115, -90.06310829672566)",VIOLENT CRIME,AGGRAVATED BATTERY
A0247713,34,AGGRAVATED BATTERY,2B,,,,3683521,540346,2013-01-02 17:21:00,2013-01-02 17:24:00,2013-01-02 17:30:00,2013-01-02 22:22:00,RTF,REPORT TO FOLLOW,,,029XX Pauger St,70119.0,5,"(29.979702616404193, -90.06137937316943)",VIOLENT CRIME,AGGRAVATED BATTERY
A3100313,34,AGGRAVATED BATTERY,2B,,,,3682102,529887,2013-01-24 01:25:00,2013-01-24 01:30:00,2013-01-24 01:30:00,2013-01-24 02:53:00,RTF,REPORT TO FOLLOW,,,001XX Tchoupitoulas St,70130.0,8,"(29.950987194039513, -90.06622644536927)",VIOLENT CRIME,AGGRAVATED BATTERY
A3302913,34,AGGRAVATED BATTERY,2B,,,,3694972,559141,2013-01-25 16:17:00,2013-01-25 16:19:00,2013-01-25 16:27:00,2013-01-25 19:40:00,RTF,REPORT TO FOLLOW,,,078XX W Laverne St,70126.0,7,"(30.031027412521865, -90.02453459898635)",VIOLENT CRIME,AGGRAVATED BATTERY
A3475413,34,AGGRAVATED BATTERY,2B,,,,3681217,530712,2013-01-26 17:32:00,2013-01-26 17:36:00,2013-01-26 17:46:00,2013-01-26 17:52:00,RTF,REPORT TO FOLLOW,,,Canal St & Royal St,70130.0,8,"(29.953282545767404, -90.0689920854026)",VIOLENT CRIME,AGGRAVATED BATTERY
A4044213,34,AGGRAVATED BATTERY,2B,,,,3684466,544060,2013-01-30 19:26:00,2013-01-30 19:34:00,2013-01-30 19:40:00,2013-01-30 22:57:00,RTF,REPORT TO FOLLOW,,,031XX Elysian Fields Ave,70122.0,3,"(29.989885926835523, -90.0582641516289)",VIOLENT CRIME,AGGRAVATED BATTERY
A4085213,34,AGGRAVATED BATTERY,2B,,,,3695107,557007,2013-01-31 03:57:00,2013-01-31 03:57:00,2013-01-31 03:59:00,2013-01-31 06:44:00,RTF,REPORT TO FOLLOW,,,071XX Downman Rd,70126.0,3,"(30.025155484375162, -90.02418504276511)",VIOLENT CRIME,AGGRAVATED BATTERY
B0184813,34,AGGRAVATED BATTERY,2B,,,,3683195,544688,2013-02-02 03:29:00,2013-02-02 03:30:00,2013-02-02 03:39:00,2013-02-02 06:54:00,RTF,REPORT TO FOLLOW,,,Humanity St & Pauger St,70122.0,3,"(29.991651532440013, -90.06225688568045)",VIOLENT CRIME,AGGRAVATED BATTERY
B0187213,34,AGGRAVATED BATTERY,2B,,,,3677424,536924,2013-02-02 03:57:00,2013-02-02 03:59:00,2013-02-02 04:03:00,2013-02-02 06:33:00,RTF,REPORT TO FOLLOW,,,008XX N Dorgenois St,70119.0,1,"(29.970477980625766, -90.08075433407615)",VIOLENT CRIME,AGGRAVATED BATTERY
B0296813,34,AGGRAVATED BATTERY,2B,,,,3679975,527145,2013-02-02 20:52:00,2013-02-02 20:54:00,2013-02-02 20:56:00,2013-02-02 22:02:00,RTF,REPORT TO FOLLOW,,,007XX Howard Ave,70130.0,6,"(29.94351211533044, -90.07303766721691)",VIOLENT CRIME,AGGRAVATED BATTERY
B1360513,34,AGGRAVATED BATTERY,2B,,,,3673497,534211,2013-02-10 05:11:00,2013-02-10 05:14:00,2013-02-10 05:16:00,2013-02-10 07:18:00,RTF,REPORT TO FOLLOW,,,029XX Tulane Ave,70119.0,1,"(29.963135597835223, -90.09324899600004)",VIOLENT CRIME,AGGRAVATED BATTERY
B1790513,34,AGGRAVATED BATTERY,2B,,,,3684826,533866,2013-02-13 02:10:00,2013-02-13 02:10:00,2013-02-13 02:27:00,2013-02-13 03:31:00,RTF,REPORT TO FOLLOW,,,004XX Esplanade Ave,70116.0,8,"(29.961844973519298, -90.05748554617026)",VIOLENT CRIME,AGGRAVATED BATTERY
B2013713,34,AGGRAVATED BATTERY,2B,,,,3670938,527315,2013-02-14 23:28:00,2013-02-14 23:33:00,2013-02-14 23:36:00,2013-02-15 02:19:00,RTF,REPORT TO FOLLOW,,,042XX S Johnson St,70125.0,2,"(29.944249774488195, -90.10156413385837)",VIOLENT CRIME,AGGRAVATED BATTERY
