NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,CrimeType,Description,Latitude,Longitude
A0009014,55,AGGRAVATED CRIMINAL DAMAGE,2A,55,AGGRAVATED CRIMINAL DAMAGE,2A,3669512,540197,2014-01-01 00:35:13,01/01/2014 12:36:39 AM,01/01/2014 12:41:22 AM,01/01/2014 03:32:30 AM,RTF,REPORT TO FOLLOW,N,3H01,046XX Iberville St,70119.0,3,"(29.97971459, -90.10562794)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.97971459,-90.10562794
A0073014,55,AGGRAVATED CRIMINAL DAMAGE,1B,56,SIMPLE CRIMINAL DAMAGE,1D,3671068,526707,2014-01-01 12:03:57,01/01/2014 12:20:55 PM,01/01/2014 12:46:44 PM,01/01/2014 01:49:39 PM,RTF,REPORT TO FOLLOW,N,2R01,032XX Milan St,70125.0,2,"(29.94257507, -90.10117130)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.94257507,-90.10117130
A0288814,55,AGGRAVATED CRIMINAL DAMAGE,2A,55,AGGRAVATED CRIMINAL DAMAGE,2A,3720367,573122,2014-01-03 03:15:10,01/03/2014 03:20:12 AM,01/03/2014 03:28:17 AM,01/03/2014 05:50:11 AM,RTF,REPORT TO FOLLOW,N,7K04,076XX Forum Blvd,70128.0,7,"(30.06864780, -89.94374869)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.06864780,-89.94374869
A0446614,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3707680,558372,2014-01-04 12:37:35,01/04/2014 12:39:51 PM,01/04/2014 12:43:06 PM,01/04/2014 02:35:24 PM,RTF,REPORT TO FOLLOW,N,7R03,090XX Lake Forest Blvd,70127.0,7,"(30.02850987, -89.98440526)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.02850987,-89.98440526
A0451114,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3718188,572520,2014-01-04 13:12:22,01/04/2014 04:08:02 PM,01/04/2014 04:12:25 PM,01/04/2014 06:51:13 PM,RTF,REPORT TO FOLLOW,N,7K04,139XX Wales St,70128.0,7,"(30.06706701, -89.95065976)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.06706701,-89.95065976
A0486514,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3719802,573907,2014-01-04 18:34:14,01/04/2014 06:35:37 PM,01/04/2014 06:34:14 PM,01/04/2014 07:52:59 PM,RTF,REPORT TO FOLLOW,Y,7K04,078XX Bass St,70128.0,7,"(30.07082607, -89.94550380)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.07082607,-89.94550380
A0540114,55,AGGRAVATED CRIMINAL DAMAGE,1A,55,AGGRAVATED CRIMINAL DAMAGE,1B,3685155,545060,2014-01-05 04:26:53,01/05/2014 04:42:40 AM,01/05/2014 04:46:31 AM,01/05/2014 06:42:13 AM,RTF,REPORT TO FOLLOW,N,3Y02,033XX Mandeville St,70122.0,3,"(29.99261456, -90.05605088)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.99261456,-90.05605088
A0912614,55,AGGRAVATED CRIMINAL DAMAGE,1B,56,SIMPLE CRIMINAL DAMAGE,1D,3681793,544771,2014-01-08 07:59:17,01/08/2014 08:42:10 AM,01/08/2014 08:42:13 AM,01/08/2014 01:54:03 PM,RTF,REPORT TO FOLLOW,N,3X02,034XX New Orleans St,70122.0,3,"(29.99192402, -90.06668092)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.99192402,-90.06668092
A1440114,55,AGGRAVATED CRIMINAL DAMAGE,1B,55,AGGRAVATED CRIMINAL DAMAGE,1B,3675025,527540,2014-01-12 00:24:54,01/12/2014 02:29:00 AM,01/12/2014 02:40:51 AM,01/12/2014 05:26:57 AM,RTF,REPORT TO FOLLOW,N,6J01,021XX Willow St,70113.0,6,"(29.94474939, -90.08864954)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.94474939,-90.08864954
A1747014,55,AGGRAVATED CRIMINAL DAMAGE,1B,34S,AGGRAVATED BATTERY BY SHOOTING,2B,3678728,533930,2014-01-14 14:42:11,,01/14/2014 02:45:19 PM,01/14/2014 07:11:58 PM,RTF,REPORT TO FOLLOW,N,1I02,018XX Conti St,70112.0,1,"(29.96220890, -90.07673961)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.96220890,-90.07673961
A2278614,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2A,3663932,533650,2014-01-18 14:07:59,,01/18/2014 02:14:48 PM,01/18/2014 08:56:35 PM,RTF,REPORT TO FOLLOW,N,2T02,026XX Monroe St,70118.0,2,"(29.96187589, -90.12347159)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.96187589,-90.12347159
A2322814,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3712747,555353,2014-01-18 21:37:02,01/18/2014 09:38:00 PM,01/18/2014 09:38:06 PM,01/19/2014 02:39:00 AM,RTF,REPORT TO FOLLOW,N,7J02,046XX Read Blvd,70127.0,7,"(30.02004232, -89.96850639)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,30.02004232,-89.96850639
A2326814,55,AGGRAVATED CRIMINAL DAMAGE,1B,94,DISCHARGING FIREARM,2B,3692829,539763,2014-01-18 22:27:36,01/18/2014 10:28:10 PM,01/18/2014 10:29:22 PM,01/19/2014 04:14:24 AM,RTF,REPORT TO FOLLOW,N,5H02,022XX Bartholomew St,70117.0,5,"(29.97781304, -90.03200003)",VIOLENT CRIME,AGGRAVATED CRIMINAL DAMAGE,29.97781304,-90.03200003
