,?NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,crime_type
32,A0018915,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3691614,541821,01/01/2015 01:36:36 AM,,01/01/2015 01:36:36 AM,01/01/2015 02:27:13 AM,RTF,REPORT TO FOLLOW,Y,5M04,033XX Florida Ave,70117.0,5,"(29.98350972, -90.03576356)",OTHER CFS
35,A0020615,65P,"SIMPLE ROBBERY, PROPERTY SNATCHING",2B,67,THEFT,1E,3681379,531516,01/01/2015 01:43:46 AM,,01/01/2015 01:43:46 AM,01/01/2015 03:33:05 AM,RTF,REPORT TO FOLLOW,Y,8D04,003XX Bourbon St,70112.0,8,"(29.95548846, -90.06845211)",PROPERTY CRIME
36,A0020615,65P,"SIMPLE ROBBERY, PROPERTY SNATCHING",2B,67,THEFT,1E,3681379,531516,01/01/2015 01:43:46 AM,,01/01/2015 01:43:46 AM,01/01/2015 03:33:05 AM,RTF,REPORT TO FOLLOW,Y,8D04,003XX Bourbon St,70112.0,8,"(29.95548846, -90.06845211)",PROPERTY CRIME
91,A0038915,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/01/2015 04:21:43 AM,,01/01/2015 04:21:43 AM,01/01/2015 05:18:31 AM,RTF,REPORT TO FOLLOW,Y,5E02,N Claiborne Ave & Flood St,,5,"(0, 0)",OTHER CFS
230,A0096615,35D,SIMPLE BATTERY DOMESTIC,2B,21,COMPLAINT OTHER,1H,3683552,536500,01/01/2015 05:19:41 PM,,01/01/2015 05:19:41 PM,01/01/2015 06:46:05 PM,RTF,REPORT TO FOLLOW,Y,5A01,018XX Marais St,70116.0,5,"(29.96912888, -90.06141498)",OTHER CFS
272,A0109515,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/01/2015 07:14:52 PM,,01/01/2015 07:14:52 PM,01/01/2015 08:10:00 PM,NAT,Necessary Action Taken,Y,8D01,001XX Royal St,70130.0,8,"(0, 0)",OTHER CFS
318,A0120415,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3698593,519114,01/01/2015 09:00:42 PM,,01/01/2015 09:00:42 PM,01/01/2015 10:27:42 PM,NAT,Necessary Action Taken,Y,4C02,Holiday Dr & General De Gaulle Dr,,4,"(29.92085490, -90.01454719)",OTHER CFS
355,A0132215,42,AGGRAVATED RAPE,2A,21,COMPLAINT OTHER,1H,37369000,3513814,01/01/2015 11:36:38 PM,01/02/2015 02:01:24 AM,01/01/2015 11:36:38 PM,01/02/2015 04:26:12 AM,RTF,REPORT TO FOLLOW,Y,6P01,Marengo St & Chestnut St,70115.0,6,"(0, 0)",VIOLENT CRIME
356,A0132215,42,AGGRAVATED RAPE,2A,21,COMPLAINT OTHER,1H,37369000,3513814,01/01/2015 11:36:38 PM,01/02/2015 02:01:24 AM,01/01/2015 11:36:38 PM,01/02/2015 04:26:12 AM,RTF,REPORT TO FOLLOW,Y,6P01,Marengo St & Chestnut St,70115.0,6,"(0, 0)",VIOLENT CRIME
467,A0165315,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3690595,548109,01/02/2015 07:33:37 AM,,01/02/2015 07:33:37 AM,01/02/2015 08:18:21 AM,NAT,Necessary Action Taken,Y,5Q04,043XX Almonaster Ave,70126.0,5,"(30.00083064, -90.03875701)",OTHER CFS
616,A0226115,35D,SIMPLE BATTERY DOMESTIC,2B,103,DISTURBANCE (OTHER),1A,3681257,530769,01/02/2015 07:31:30 PM,,01/02/2015 07:31:30 PM,01/02/2015 09:44:25 PM,RTF,REPORT TO FOLLOW,Y,8D01,001XX Royal St,70130.0,8,"(29.95343892, -90.06886146)",OTHER CFS
698,A0252415,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/03/2015 12:56:08 AM,,01/03/2015 12:56:08 AM,01/03/2015 01:43:07 AM,NAT,Necessary Action Taken,Y,8C01,Iberville St & Chartres St,70130.0,8,"(0, 0)",OTHER CFS
720,A0259615,20I,AUTO ACCIDENT WITH INJURY,2B,21,COMPLAINT OTHER,1H,3679321,533959,01/03/2015 02:31:47 AM,01/03/2015 02:33:16 AM,01/03/2015 02:31:47 AM,01/03/2015 08:58:41 AM,RTF,REPORT TO FOLLOW,Y,1E05,I10 E & Saint Louis St,70112.0,1,"(29.96226928, -90.07486548)",OTHER CFS
721,A0260115,20,AUTO ACCIDENT,2A,20,AUTO ACCIDENT,1C,3678445,532814,01/03/2015 02:42:20 AM,,01/03/2015 02:42:20 AM,01/03/2015 02:43:56 AM,DUP,DUPLICATE,Y,1E02,I-10 E & Canal St,,1,"(29.95914679, -90.07767044)",OTHER CFS
982,A0359015,18,TRAFFIC INCIDENT,2A,18,TRAFFIC INCIDENT,1H,3674999,531198,01/04/2015 12:15:43 AM,01/04/2015 12:42:32 AM,01/04/2015 12:15:43 AM,01/04/2015 12:50:39 AM,UNF,UNFOUNDED,Y,1G01,I-10 W & S Galvez St,,1,"(29.95480617, -90.08860815)",OTHER CFS
1618,A0600215,43,SIMPLE RAPE,2D,21,COMPLAINT OTHER,1H,37369000,3513814,01/06/2015 09:16:32 AM,,01/06/2015 09:16:32 AM,01/06/2015 10:25:25 AM,RTF,REPORT TO FOLLOW,Y,6Q01,022XX Marengo St,70115.0,6,"(0, 0)",VIOLENT CRIME
1619,A0600215,43,SIMPLE RAPE,2D,21,COMPLAINT OTHER,1H,37369000,3513814,01/06/2015 09:16:32 AM,,01/06/2015 09:16:32 AM,01/06/2015 10:25:25 AM,RTF,REPORT TO FOLLOW,Y,6Q01,022XX Marengo St,70115.0,6,"(0, 0)",VIOLENT CRIME
1744,A0634815,63,PROWLER,2C,21,COMPLAINT OTHER,1H,3680101,541348,01/06/2015 02:04:27 PM,01/06/2015 02:06:09 PM,01/06/2015 02:04:27 PM,01/06/2015 06:27:22 PM,RTF,REPORT TO FOLLOW,Y,1C02,018XX N Broad St,70119.0,1,"(29.98256201, -90.07214495)",OTHER CFS
2377,A0872015,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3703179,519891,01/08/2015 12:31:42 PM,,01/08/2015 12:31:42 PM,01/08/2015 12:41:42 PM,NAT,Necessary Action Taken,Y,4D02,Hudson Pl & Macarthur Blvd,,4,"(29.92284600, -90.00004315)",OTHER CFS
2524,A0912415,63,PROWLER,2C,21,COMPLAINT OTHER,1H,3675397,535134,01/08/2015 06:03:45 PM,01/08/2015 06:15:52 PM,01/08/2015 06:03:45 PM,01/08/2015 07:45:53 PM,NAT,Necessary Action Taken,Y,1I03,N Broad St & Canal St,70119.0,1,"(29.96561936, -90.08721589)",OTHER CFS
2703,A0958015,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3676845,521139,01/09/2015 02:25:10 AM,,01/09/2015 02:25:10 AM,01/09/2015 02:46:25 AM,NAT,Necessary Action Taken,Y,6D02,Camp St & Washington Ave,70130.0,6,"(29.92709362, -90.08312667)",OTHER CFS
3069,A1079215,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3681648,531813,01/09/2015 11:13:38 PM,,01/09/2015 11:13:38 PM,01/09/2015 11:14:21 PM,NAT,Necessary Action Taken,Y,8D05,004XX Bourbon St,70130.0,8,"(29.95629873, -90.06758970)",OTHER CFS
3215,A1120315,95G,ILLEGAL CARRYING OF WEAPON- GUN,2B,966,DRUG VIOLATIONS,1G,3710258,519152,01/10/2015 09:47:59 AM,,01/10/2015 09:47:59 AM,01/10/2015 01:19:07 PM,RTF,REPORT TO FOLLOW,Y,4E04,028XX Bacchus Dr,,4,"(29.92058517, -89.97772409)",OTHER CFS
3508,A1201015,107,SUSPICIOUS PERSON,2A,18,TRAFFIC INCIDENT,1H,3679820,531659,01/10/2015 11:20:24 PM,,01/10/2015 11:20:24 PM,01/11/2015 01:38:47 AM,NAT,Necessary Action Taken,Y,8I02,Canal St & Elk Pl,,8,"(29.95593052, -90.07336830)",OTHER CFS
4006,A1403115,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3682100,531874,01/12/2015 05:49:45 PM,01/12/2015 05:59:29 PM,01/12/2015 05:49:45 PM,01/12/2015 07:55:07 PM,NAT,Necessary Action Taken,Y,8D05,Saint Louis St & Royal St,,8,"(29.95645202, -90.06616199)",OTHER CFS
4104,A1437715,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3702778,518210,01/13/2015 12:16:50 AM,01/13/2015 12:20:28 AM,01/13/2015 12:16:50 AM,01/13/2015 12:28:36 AM,NAT,Necessary Action Taken,Y,4D02,Berkley Dr & Plymouth Pl,70131.0,4,"(29.91823636, -90.00136842)",OTHER CFS
4224,A1471215,20I,AUTO ACCIDENT WITH INJURY,2B,20,AUTO ACCIDENT,1C,3668643,534557,01/13/2015 09:43:13 AM,01/13/2015 09:46:59 AM,01/13/2015 09:43:13 AM,01/13/2015 11:12:43 AM,RTF,REPORT TO FOLLOW,Y,2U04,Washington Ave & Fern St,,2,"(29.96423144, -90.10856308)",OTHER CFS
4583,A1566315,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3680295,531301,01/14/2015 12:56:39 AM,,01/14/2015 12:56:39 AM,01/14/2015 02:34:39 AM,NAT,Necessary Action Taken,Y,8I02,Roosevelt Way & Canal St,70112.0,8,"(29.95493097, -90.07188101)",OTHER CFS
4677,A1594315,95,ILLEGAL CARRYING OF WEAPON,2B,21,COMPLAINT OTHER,1H,3680721,536476,01/14/2015 09:02:27 AM,01/14/2015 09:39:32 AM,01/14/2015 09:02:27 AM,01/14/2015 10:46:33 AM,RTF,REPORT TO FOLLOW,Y,1J02,013XX N Derbigny St,70116.0,1,"(29.96914700, -90.07035459)",OTHER CFS
4737,A1611415,103D,DOMESTIC DISTURBANCE,2B,103,DISTURBANCE (OTHER),1A,3681117,541923,01/14/2015 11:45:57 AM,01/14/2015 11:53:59 AM,01/14/2015 11:45:57 AM,01/14/2015 12:54:46 PM,RTF,REPORT TO FOLLOW,Y,5K04,019XX Hope St,70119.0,5,"(29.98411343, -90.06891455)",OTHER CFS
4929,A1667515,1028P,VEHICLE PURSUIT,2A,18,TRAFFIC INCIDENT,1H,3683375,537900,01/14/2015 06:49:01 PM,01/14/2015 06:50:03 PM,01/14/2015 06:49:01 PM,01/14/2015 11:05:31 PM,RTF,REPORT TO FOLLOW,Y,5A04,N Claiborne Ave & Saint Anthony St,,5,"(29.97298353, -90.06192401)",OTHER CFS
5184,A1750815,20I,AUTO ACCIDENT WITH INJURY,2B,20,AUTO ACCIDENT,1C,3704699,558877,01/15/2015 12:33:09 PM,,01/15/2015 12:33:09 PM,01/15/2015 03:11:18 PM,RTF,REPORT TO FOLLOW,Y,7O04,Crowder Blvd & I-10 W,,7,"(30.02999472, -89.99380396)",OTHER CFS
5623,A1872415,107,SUSPICIOUS PERSON,2A,21,COMPLAINT OTHER,1H,3677865,527532,01/16/2015 11:45:39 AM,,01/16/2015 11:45:39 AM,01/16/2015 11:49:46 AM,GOA,GONE ON ARRIVAL,Y,6H03,Simon Bolivar Ave & Clio St,,6,"(29.94464107, -90.07968505)",OTHER CFS
5789,A1928515,24,MEDICAL,2B,21,COMPLAINT OTHER,1H,37369000,3513814,01/16/2015 07:58:28 PM,,01/16/2015 07:58:28 PM,01/16/2015 08:33:18 PM,NAT,Necessary Action Taken,Y,8D03,Conti St & Burgundy St,70112.0,8,"(0, 0)",OTHER CFS
5884,A1951815,103D,DOMESTIC DISTURBANCE,2B,21,COMPLAINT OTHER,1H,3704440,517861,01/16/2015 11:34:45 PM,01/16/2015 11:43:44 PM,01/16/2015 11:34:45 PM,01/17/2015 12:48:17 AM,RTF,REPORT TO FOLLOW,Y,4D02,056XX Lacour Monique St,70131.0,4,"(29.91722378, -89.99613785)",OTHER CFS
