,?NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,crime_type
54,A0006215,18,TRAFFIC INCIDENT,2A,18,TRAFFIC INCIDENT,1H,3679853,534665,01/01/2015 12:27:15 AM,01/01/2015 12:32:43 AM,01/01/2015 12:42:04 AM,01/01/2015 01:28:26 AM,NAT,Necessary Action Taken,N,1E03,I-10 E & Orleans Ave,70116.0,1,"(29.96419444, -90.07315961)",OTHER CFS
64,A0035715,63,PROWLER,2C,66,EXTORTION (THREATS),1F,3677812,533344,01/01/2015 03:45:55 AM,,,01/01/2015 03:57:05 AM,DUP,DUPLICATE,N,1I02,019XX Canal St,70112.0,1,"(29.96062494, -90.07965250)",OTHER CFS
126,A0015015,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3680961,534842,01/01/2015 01:18:16 AM,01/01/2015 01:19:30 AM,01/01/2015 01:20:59 AM,01/01/2015 01:26:41 AM,UNF,UNFOUNDED,N,1F01,009XX N Villere St,70116.0,1,"(29.96464849, -90.06965517)",OTHER CFS
161,A0018815,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3674601,532479,01/01/2015 01:36:21 AM,,,01/01/2015 01:40:49 AM,DUP,DUPLICATE,N,1G02,Perdido St & S Rocheblave St,70119.0,1,"(29.95834215, -90.08981933)",OTHER CFS
201,A0023915,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3700773,554470,01/01/2015 02:06:24 AM,01/01/2015 02:23:50 AM,01/01/2015 02:37:25 AM,01/01/2015 02:44:30 AM,NAT,Necessary Action Taken,N,7C04,048XX Chantilly Dr,70126.0,7,"(30.01800115, -90.00637386)",OTHER CFS
236,A0028915,35D,SIMPLE BATTERY DOMESTIC,2B,103D,DOMESTIC DISTURBANCE,1A,3677920,534669,01/01/2015 02:49:05 AM,01/01/2015 03:56:02 AM,01/01/2015 04:07:30 AM,01/01/2015 07:13:24 AM,RTF,REPORT TO FOLLOW,N,1I02,021XX Conti St,70112.0,1,"(29.96426359, -90.07926551)",OTHER CFS
243,A0029715,21,COMPLAINT OTHER,2A,21,COMPLAINT OTHER,1H,3682032,531880,01/01/2015 02:56:16 AM,01/01/2015 02:59:02 AM,,01/01/2015 02:59:04 AM,GOA,GONE ON ARRIVAL,N,8D05,007XX Saint Louis St,70130.0,8,"(29.95646996, -90.06637685)",OTHER CFS
306,A0037515,64G,ARMED ROBBERY WITH GUN,2A,62R,RESIDENCE BURGLARY,1C,3675465,555450,01/01/2015 04:02:45 AM,01/01/2015 04:06:40 AM,01/01/2015 04:14:15 AM,01/01/2015 08:07:52 AM,RTF,REPORT TO FOLLOW,N,3K02,X Ibis St,70124.0,3,"(30.02147804, -90.08630258)",VIOLENT CRIME
307,A0037515,64G,ARMED ROBBERY WITH GUN,2A,62R,RESIDENCE BURGLARY,1C,3675465,555450,01/01/2015 04:02:45 AM,01/01/2015 04:06:40 AM,01/01/2015 04:14:15 AM,01/01/2015 08:07:52 AM,RTF,REPORT TO FOLLOW,N,3K02,X Ibis St,70124.0,3,"(30.02147804, -90.08630258)",VIOLENT CRIME
313,A0038115,103,DISTURBANCE (OTHER),2A,103,DISTURBANCE (OTHER),1A,3684700,534341,01/01/2015 04:11:52 AM,01/01/2015 04:35:03 AM,01/01/2015 04:35:07 AM,01/01/2015 06:02:04 AM,NAT,Necessary Action Taken,N,8F01,005XX Frenchman St,70116.0,8,"(29.96315605, -90.05786547)",OTHER CFS
