,?NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,crime_type
20,A0012915,103,DISTURBANCE (OTHER),1A,103F,FIGHT,2B,3682031,532378,01/01/2015 01:05:48 AM,01/01/2015 01:06:14 AM,01/01/2015 01:05:48 AM,01/01/2015 02:23:31 AM,NAT,Necessary Action Taken,Y,8D06,Toulouse St & Bourbon St,70112.0,8,"(29.95783996, -90.06636321)",OTHER CFS
31,A0018615,35,SIMPLE BATTERY,1D,103F,FIGHT,2B,3680586,531079,01/01/2015 01:34:46 AM,01/01/2015 01:59:19 AM,01/01/2015 01:34:46 AM,01/01/2015 10:02:54 AM,RTF,REPORT TO FOLLOW,Y,8I01,009XX Canal St,70112.0,8,"(29.95431086, -90.07096902)",OTHER CFS
97,A0044715,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3682167,531371,01/01/2015 06:17:07 AM,,01/01/2015 06:17:07 AM,01/01/2015 06:21:12 AM,NAT,Necessary Action Taken,Y,8C02,Conti St & Chartres St,70130.0,8,"(29.95506608, -90.06596768)",OTHER CFS
136,A0059115,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3681831,536171,01/01/2015 10:15:42 AM,01/01/2015 10:19:57 AM,01/01/2015 10:15:42 AM,01/01/2015 10:42:46 AM,NAT,Necessary Action Taken,Y,1A01,014XX N Villere St,70116.0,1,"(29.96827465, -90.06686270)",OTHER CFS
260,A0107315,94F,FIREWORKS,1A,94F,FIREWORKS,2H,3681244,521728,01/01/2015 06:54:21 PM,01/01/2015 08:41:00 PM,01/01/2015 06:54:21 PM,01/01/2015 09:09:00 PM,NAT,Necessary Action Taken,Y,6B02,006XX Felicity St,,6,"(29.92858077, -90.06921906)",OTHER CFS
336,A0127715,103,DISTURBANCE (OTHER),1A,103F,FIGHT,2B,3681597,531806,01/01/2015 10:25:42 PM,01/01/2015 10:26:01 PM,01/01/2015 10:25:42 PM,01/01/2015 10:49:07 PM,NAT,Necessary Action Taken,Y,8D05,004XX Bourbon St,70112.0,8,"(29.95628022, -90.06775199)",OTHER CFS
375,A0138415,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3682208,532246,01/02/2015 12:37:52 AM,,01/02/2015 12:37:52 AM,01/02/2015 12:38:10 AM,NAT,Necessary Action Taken,Y,8D06,007XX Toulouse St,70130.0,8,"(29.95747263, -90.06580909)",OTHER CFS
413,A0148415,67P,PICKPOCKET,1E,107,SUSPICIOUS PERSON,2A,3682032,531880,01/02/2015 02:29:01 AM,,01/02/2015 02:29:01 AM,01/02/2015 02:58:58 AM,RTF,REPORT TO FOLLOW,Y,8D05,007XX Saint Louis St,70130.0,8,"(29.95646996, -90.06637685)",PROPERTY CRIME
414,A0148415,67P,PICKPOCKET,1E,107,SUSPICIOUS PERSON,2A,3682032,531880,01/02/2015 02:29:01 AM,,01/02/2015 02:29:01 AM,01/02/2015 02:58:58 AM,RTF,REPORT TO FOLLOW,Y,8D05,007XX Saint Louis St,70130.0,8,"(29.95646996, -90.06637685)",PROPERTY CRIME
639,A0233615,21,COMPLAINT OTHER,1H,107,SUSPICIOUS PERSON,2A,3682338,532696,01/02/2015 08:43:01 PM,,01/02/2015 08:43:01 PM,01/02/2015 08:57:10 PM,NAT,Necessary Action Taken,Y,8D06,007XX Bourbon St,70116.0,8,"(29.95870443, -90.06538241)",OTHER CFS
677,A0246715,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3680643,531143,01/02/2015 11:47:54 PM,01/03/2015 12:39:11 AM,01/02/2015 11:47:54 PM,01/03/2015 01:35:28 AM,RTF,REPORT TO FOLLOW,Y,8D01,Canal St & Baronne St,,8,"(29.95448735, -90.07078823)",OTHER CFS
1150,A0415515,21,COMPLAINT OTHER,1H,24,MEDICAL,2B,3682248,532665,01/04/2015 04:32:53 PM,,01/04/2015 04:32:53 PM,01/04/2015 05:55:11 PM,NAT,Necessary Action Taken,Y,8D06,Bourbon St & St Peter St,70112.0,8,"(29.95862250, -90.06566702)",OTHER CFS
1831,A0676015,966,DRUG VIOLATIONS,1G,107,SUSPICIOUS PERSON,2A,3681350,522036,01/06/2015 08:20:09 PM,,01/06/2015 08:20:09 PM,01/06/2015 09:31:07 PM,RTF,REPORT TO FOLLOW,Y,6B04,007XX Saint James St,70130.0,6,"(29.92942414, -90.06887367)",OTHER CFS
