,Number of Crimes,Number of SNS,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,Month,Year
12,263,809,996.0,913.0,895.0,855.0,974.0,1193.0,1451.0,1432.0,1460.0,1790.0,1403.0,1489.0,1,2013
13,273,562,809.0,996.0,913.0,895.0,855.0,974.0,1193.0,1451.0,1432.0,1460.0,1790.0,1403.0,2,2013
14,304,709,562.0,809.0,996.0,913.0,895.0,855.0,974.0,1193.0,1451.0,1432.0,1460.0,1790.0,3,2013
15,331,773,709.0,562.0,809.0,996.0,913.0,895.0,855.0,974.0,1193.0,1451.0,1432.0,1460.0,4,2013
16,316,755,773.0,709.0,562.0,809.0,996.0,913.0,895.0,855.0,974.0,1193.0,1451.0,1432.0,5,2013
17,324,873,755.0,773.0,709.0,562.0,809.0,996.0,913.0,895.0,855.0,974.0,1193.0,1451.0,6,2013
18,287,1035,873.0,755.0,773.0,709.0,562.0,809.0,996.0,913.0,895.0,855.0,974.0,1193.0,7,2013
19,291,889,1035.0,873.0,755.0,773.0,709.0,562.0,809.0,996.0,913.0,895.0,855.0,974.0,8,2013
20,318,867,889.0,1035.0,873.0,755.0,773.0,709.0,562.0,809.0,996.0,913.0,895.0,855.0,9,2013
21,331,800,867.0,889.0,1035.0,873.0,755.0,773.0,709.0,562.0,809.0,996.0,913.0,895.0,10,2013
22,299,800,800.0,867.0,889.0,1035.0,873.0,755.0,773.0,709.0,562.0,809.0,996.0,913.0,11,2013
23,291,728,800.0,800.0,867.0,889.0,1035.0,873.0,755.0,773.0,709.0,562.0,809.0,996.0,12,2013
24,339,584,728.0,800.0,800.0,867.0,889.0,1035.0,873.0,755.0,773.0,709.0,562.0,809.0,1,2014
25,326,575,584.0,728.0,800.0,800.0,867.0,889.0,1035.0,873.0,755.0,773.0,709.0,562.0,2,2014
26,378,540,575.0,584.0,728.0,800.0,800.0,867.0,889.0,1035.0,873.0,755.0,773.0,709.0,3,2014
27,373,694,540.0,575.0,584.0,728.0,800.0,800.0,867.0,889.0,1035.0,873.0,755.0,773.0,4,2014
28,369,751,694.0,540.0,575.0,584.0,728.0,800.0,800.0,867.0,889.0,1035.0,873.0,755.0,5,2014
29,408,806,751.0,694.0,540.0,575.0,584.0,728.0,800.0,800.0,867.0,889.0,1035.0,873.0,6,2014
30,370,807,806.0,751.0,694.0,540.0,575.0,584.0,728.0,800.0,800.0,867.0,889.0,1035.0,7,2014
31,371,796,807.0,806.0,751.0,694.0,540.0,575.0,584.0,728.0,800.0,800.0,867.0,889.0,8,2014
32,339,1028,796.0,807.0,806.0,751.0,694.0,540.0,575.0,584.0,728.0,800.0,800.0,867.0,9,2014
33,368,1031,1028.0,796.0,807.0,806.0,751.0,694.0,540.0,575.0,584.0,728.0,800.0,800.0,10,2014
34,360,739,1031.0,1028.0,796.0,807.0,806.0,751.0,694.0,540.0,575.0,584.0,728.0,800.0,11,2014
35,397,813,739.0,1031.0,1028.0,796.0,807.0,806.0,751.0,694.0,540.0,575.0,584.0,728.0,12,2014
36,359,1111,813.0,739.0,1031.0,1028.0,796.0,807.0,806.0,751.0,694.0,540.0,575.0,584.0,1,2015
