,Number of Crimes,Number of SNS,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,Month,Year
12,36,48,49.0,65.0,50.0,45.0,83.0,78.0,99.0,99.0,81.0,125.0,83.0,83.0,1,2013
13,41,29,48.0,49.0,65.0,50.0,45.0,83.0,78.0,99.0,99.0,81.0,125.0,83.0,2,2013
14,41,46,29.0,48.0,49.0,65.0,50.0,45.0,83.0,78.0,99.0,99.0,81.0,125.0,3,2013
15,47,34,46.0,29.0,48.0,49.0,65.0,50.0,45.0,83.0,78.0,99.0,99.0,81.0,4,2013
16,38,42,34.0,46.0,29.0,48.0,49.0,65.0,50.0,45.0,83.0,78.0,99.0,99.0,5,2013
17,29,42,42.0,34.0,46.0,29.0,48.0,49.0,65.0,50.0,45.0,83.0,78.0,99.0,6,2013
18,34,75,42.0,42.0,34.0,46.0,29.0,48.0,49.0,65.0,50.0,45.0,83.0,78.0,7,2013
19,35,63,75.0,42.0,42.0,34.0,46.0,29.0,48.0,49.0,65.0,50.0,45.0,83.0,8,2013
20,39,65,63.0,75.0,42.0,42.0,34.0,46.0,29.0,48.0,49.0,65.0,50.0,45.0,9,2013
21,30,61,65.0,63.0,75.0,42.0,42.0,34.0,46.0,29.0,48.0,49.0,65.0,50.0,10,2013
22,33,40,61.0,65.0,63.0,75.0,42.0,42.0,34.0,46.0,29.0,48.0,49.0,65.0,11,2013
23,27,31,40.0,61.0,65.0,63.0,75.0,42.0,42.0,34.0,46.0,29.0,48.0,49.0,12,2013
24,46,41,31.0,40.0,61.0,65.0,63.0,75.0,42.0,42.0,34.0,46.0,29.0,48.0,1,2014
25,47,32,41.0,31.0,40.0,61.0,65.0,63.0,75.0,42.0,42.0,34.0,46.0,29.0,2,2014
26,49,25,32.0,41.0,31.0,40.0,61.0,65.0,63.0,75.0,42.0,42.0,34.0,46.0,3,2014
27,43,38,25.0,32.0,41.0,31.0,40.0,61.0,65.0,63.0,75.0,42.0,42.0,34.0,4,2014
28,32,37,38.0,25.0,32.0,41.0,31.0,40.0,61.0,65.0,63.0,75.0,42.0,42.0,5,2014
29,25,43,37.0,38.0,25.0,32.0,41.0,31.0,40.0,61.0,65.0,63.0,75.0,42.0,6,2014
30,39,35,43.0,37.0,38.0,25.0,32.0,41.0,31.0,40.0,61.0,65.0,63.0,75.0,7,2014
31,41,54,35.0,43.0,37.0,38.0,25.0,32.0,41.0,31.0,40.0,61.0,65.0,63.0,8,2014
32,35,75,54.0,35.0,43.0,37.0,38.0,25.0,32.0,41.0,31.0,40.0,61.0,65.0,9,2014
33,46,74,75.0,54.0,35.0,43.0,37.0,38.0,25.0,32.0,41.0,31.0,40.0,61.0,10,2014
34,34,73,74.0,75.0,54.0,35.0,43.0,37.0,38.0,25.0,32.0,41.0,31.0,40.0,11,2014
35,42,56,73.0,74.0,75.0,54.0,35.0,43.0,37.0,38.0,25.0,32.0,41.0,31.0,12,2014
36,28,66,56.0,73.0,74.0,75.0,54.0,35.0,43.0,37.0,38.0,25.0,32.0,41.0,1,2015
37,23,49,66.0,56.0,73.0,74.0,75.0,54.0,35.0,43.0,37.0,38.0,25.0,32.0,2,2015
38,43,57,49.0,66.0,56.0,73.0,74.0,75.0,54.0,35.0,43.0,37.0,38.0,25.0,3,2015
39,31,43,57.0,49.0,66.0,56.0,73.0,74.0,75.0,54.0,35.0,43.0,37.0,38.0,4,2015
40,52,33,43.0,57.0,49.0,66.0,56.0,73.0,74.0,75.0,54.0,35.0,43.0,37.0,5,2015
41,41,43,33.0,43.0,57.0,49.0,66.0,56.0,73.0,74.0,75.0,54.0,35.0,43.0,6,2015
42,41,46,43.0,33.0,43.0,57.0,49.0,66.0,56.0,73.0,74.0,75.0,54.0,35.0,7,2015
43,50,52,46.0,43.0,33.0,43.0,57.0,49.0,66.0,56.0,73.0,74.0,75.0,54.0,8,2015
44,49,80,52.0,46.0,43.0,33.0,43.0,57.0,49.0,66.0,56.0,73.0,74.0,75.0,9,2015
45,45,72,80.0,52.0,46.0,43.0,33.0,43.0,57.0,49.0,66.0,56.0,73.0,74.0,10,2015
46,47,57,72.0,80.0,52.0,46.0,43.0,33.0,43.0,57.0,49.0,66.0,56.0,73.0,11,2015
47,46,34,57.0,72.0,80.0,52.0,46.0,43.0,33.0,43.0,57.0,49.0,66.0,56.0,12,2015
48,48,57,34.0,57.0,72.0,80.0,52.0,46.0,43.0,33.0,43.0,57.0,49.0,66.0,1,2016
49,39,22,57.0,34.0,57.0,72.0,80.0,52.0,46.0,43.0,33.0,43.0,57.0,49.0,2,2016
50,39,77,22.0,57.0,34.0,57.0,72.0,80.0,52.0,46.0,43.0,33.0,43.0,57.0,3,2016
51,30,57,77.0,22.0,57.0,34.0,57.0,72.0,80.0,52.0,46.0,43.0,33.0,43.0,4,2016
