,?NOPD_Item,Type_,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location,crime_type
6,A0007015,94,DISCHARGING FIREARM,2B,94,DISCHARGING FIREARM,2B,3684907,555093,01/01/2015 12:30:20 AM,01/01/2015 12:31:04 AM,01/01/2015 12:30:20 AM,01/01/2015 12:49:36 AM,GOA,GONE ON ARRIVAL,Y,3R03,060XX Saint Roch Ave,70122.0,3,"(30.02021017, -90.05647968)",OTHER CFS
7,A0007415,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 12:33:56 AM,,01/01/2015 12:33:56 AM,01/01/2015 12:41:16 AM,NAT,Necessary Action Taken,Y,8E01,Royal St & Orleans Ave,70116.0,8,"(0, 0)",OTHER CFS
8,A0007915,106,"OBSCENITY, EXPOSING",2A,106,"OBSCENITY, EXPOSING",2A,3683283,532138,01/01/2015 12:36:59 AM,,01/01/2015 12:36:59 AM,01/01/2015 01:29:51 AM,UNF,UNFOUNDED,Y,8B02,007XX Decatur St,70116.0,8,"(29.95714085, -90.06241669)",OTHER CFS
18,A0011815,103F,FIGHT,2B,103F,FIGHT,2B,3681813,532089,01/01/2015 12:57:51 AM,01/01/2015 01:17:59 AM,01/01/2015 12:57:51 AM,01/01/2015 01:58:57 AM,NAT,Necessary Action Taken,Y,8D05,005XX Bourbon St,70112.0,8,"(29.95705191, -90.06705979)",OTHER CFS
19,A0012615,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 01:00:28 AM,,01/01/2015 01:00:28 AM,01/01/2015 01:22:41 AM,NAT,Necessary Action Taken,Y,8D01,Bourbon St & Canal St,70112.0,8,"(0, 0)",OTHER CFS
21,A0013015,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 01:08:50 AM,,01/01/2015 01:08:50 AM,01/01/2015 01:25:39 AM,NAT,Necessary Action Taken,Y,8E01,Bourbon St & Orleans Ave,70116.0,8,"(0, 0)",OTHER CFS
22,A0013115,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 01:09:06 AM,,01/01/2015 01:09:06 AM,01/01/2015 02:24:17 AM,NAT,Necessary Action Taken,Y,8B02,N Peters St & Bienville St,70130.0,8,"(0, 0)",OTHER CFS
43,A0023315,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 02:01:27 AM,,01/01/2015 02:01:27 AM,01/01/2015 03:05:29 AM,NAT,Necessary Action Taken,Y,8C03,005XX Decatur St,70130.0,8,"(0, 0)",OTHER CFS
44,A0023415,24,MEDICAL,2B,24,MEDICAL,2B,37369000,3513814,01/01/2015 02:01:57 AM,,01/01/2015 02:01:57 AM,01/01/2015 02:35:40 AM,NAT,Necessary Action Taken,Y,8D03,N Rampart St & Conti St,70112.0,8,"(0, 0)",OTHER CFS
48,A0024515,63,PROWLER,2C,63,PROWLER,2C,3681862,532154,01/01/2015 02:08:26 AM,,01/01/2015 02:08:26 AM,01/01/2015 02:16:35 AM,NAT,Necessary Action Taken,Y,8D05,005XX Bourbon St,70112.0,8,"(29.95722882, -90.06690341)",OTHER CFS
